participant_id,fsm,task,condition,beta_max,p_correct_r3
17,hard,control,hidden_fsm,0.49,0.9497887268097334
17,hard,control,hidden_an_mm,0.2,0.7685247834990176
17,hard,control,hidden_an_fsm,0.2,0.7685247834990176
18,hard,control,visible_mm,0.36,0.8965995485417504
18,hard,control,visible_fsm,0.36,0.8965995485417504
18,hard,control,hidden_mm,0.41,0.9212896628294648
18,hard,control,hidden_fsm,0.41,0.9212896628294648
18,hard,control,hidden_an_mm,0.08,0.617747874769249
18,hard,control,hidden_an_fsm,0.08,0.617747874769249
19,easy,explanation,visible_mm,0.0,0.5
19,easy,explanation,visible_fsm,0.0,0.5
19,easy,explanation,hidden_mm,0.0,0.5
19,easy,explanation,hidden_fsm,0.0,0.5
19,easy,explanation,hidden_an_mm,0.07,0.6034832498647262
19,easy,explanation,hidden_an_fsm,0.07,0.6034832498647262
20,easy,explanation,visible_mm,0.19,0.7576796390037048
20,easy,explanation,visible_fsm,0.19,0.7576796390037048
20,easy,explanation,hidden_mm,0.0,0.5
20,easy,explanation,hidden_fsm,0.0,0.5
20,easy,explanation,hidden_an_mm,0.03,0.5448788923735801
20,easy,explanation,hidden_an_fsm,0.03,0.5448788923735801
21,easy,explanation,visible_mm,0.0,0.5
21,easy,explanation,visible_fsm,0.0,0.5
21,easy,explanation,hidden_mm,0.0,0.5
21,easy,explanation,hidden_fsm,0.0,0.5
21,easy,explanation,hidden_an_mm,0.0,0.5
21,easy,explanation,hidden_an_fsm,0.0,0.5
22,easy,control,visible_mm,0.99,0.9973748797433399
22,easy,control,visible_fsm,0.99,0.9973748797433399
22,easy,control,hidden_mm,0.43,0.9295632691071829
22,easy,control,hidden_fsm,0.43,0.9295632691071829
22,easy,control,hidden_an_mm,0.39,0.9121360851706987
22,easy,control,hidden_an_fsm,0.39,0.9121360851706987
23,easy,control,visible_mm,0.65,0.9801596942659225
23,easy,control,visible_fsm,0.65,0.9801596942659225
23,easy,control,hidden_mm,0.0,0.5
23,easy,control,hidden_fsm,0.0,0.5
23,easy,control,hidden_an_mm,0.53,0.9600746660471862
23,easy,control,hidden_an_fsm,0.53,0.9600746660471862
24,hard,prediction,visible_mm,0.0,0.5
24,hard,prediction,visible_fsm,0.0,0.5
24,hard,prediction,hidden_mm,0.02,0.5299640517645717
24,hard,prediction,hidden_fsm,0.02,0.5299640517645717
24,hard,prediction,hidden_an_mm,0.2,0.7685247834990176
24,hard,prediction,hidden_an_fsm,0.2,0.7685247834990176
