"participant_id","fsm_type","test_condition","phase","trial_order","sender","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id","trial_type","option_1","option_2","correctResponse","response","response_correct","option_1_p","option_2_p","duration","explanation_1_decrease","explanation_2_decrease","response_time_lessThan1000ms","response_time_tooQuick"
1,"hard","prediction","learning",33,"learning_control_trial_seq",2,"b",1,3,"a",2,"b",1,1092.55900000245,0,"2b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",34,"learning_control_trial_seq",1,"b",1,2,"b",1,"b",1,1126.59700000277,0,"1b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",35,"learning_control_trial_seq",1,"a",0,1,"b",1,"a",0,633.768000001699,0,"1a0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
1,"hard","prediction","learning",36,"learning_control_trial_seq",0,"a",3,1,"a",0,"a",3,1166.84900000039,0,"0a3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",37,"learning_control_trial_seq",3,"a",2,0,"a",3,"a",2,1167.28200000257,0,"3a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",38,"learning_control_trial_seq",2,"a",2,3,"a",2,"a",2,1620.95100000169,0,"2a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",39,"learning_control_trial_seq",2,"a",2,2,"a",2,"a",2,1105.69800000271,0,"2a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",40,"learning_control_trial_seq",2,"b",0,2,"a",2,"b",0,3545.6500000016,0,"2b0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",41,"learning_control_trial_seq",0,"b",3,2,"b",0,"b",3,838.481000003172,0,"0b3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
1,"hard","prediction","learning",42,"learning_control_trial_seq",3,"b",2,0,"b",3,"b",2,860.669000003079,0,"3b2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
1,"hard","prediction","learning",43,"learning_control_trial_seq",2,"b",1,3,"b",2,"b",1,820.811000000976,0,"2b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
1,"hard","prediction","learning",44,"learning_control_trial_seq",1,"a",1,2,"b",1,"a",1,3424.34600000246,0,"1a1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",45,"learning_control_trial_seq",1,"a",0,1,"a",1,"a",0,931.329000000434,0,"1a0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
1,"hard","prediction","test",46,NA,NA,NA,NA,1,"a",NA,"a",NA,2858.88900000142,0,"hard_p_hid_1aa32","hidden","3","2","3","3",TRUE,0.4,0,NA,NA,NA,0,0
1,"hard","prediction","test",47,NA,NA,NA,NA,3,"a",NA,"b",NA,1653.78000000044,0,"hard_p_hid_3ab23","hidden","2","3","3","3",TRUE,0,0.4,NA,NA,NA,0,0
1,"hard","prediction","test",48,NA,NA,NA,NA,1,"b",NA,"a",NA,3381.16000000108,0,"hard_p_hid_1ba30","hidden","3","0","0","0",TRUE,0,0.4,NA,NA,NA,0,0
1,"hard","prediction","test",49,NA,NA,NA,NA,0,"a",3,"b",NA,2567.86900000036,0,"hard_p_vis_0a3b21","visible","2","1","2","2",TRUE,0.6,0,NA,NA,NA,0,0
1,"hard","prediction","test",50,NA,NA,NA,NA,3,"b",2,"a",NA,3550.60900000355,0,"hard_p_vis_3b2a12","visible","1","2","2","2",TRUE,0,1,NA,NA,NA,0,0
1,"hard","prediction","test",51,NA,NA,NA,NA,3,"b",NA,"b",NA,5081.40000000357,0,"hard_p_hid_3bb13","hidden","1","3","1","1",TRUE,0.36,0.16,NA,NA,NA,0,0
1,"hard","prediction","test",52,NA,NA,NA,NA,2,"a",NA,"a",NA,2807.23600000294,0,"hard_p_hid_2aa23","hidden","2","3","2","2",TRUE,1,0,NA,NA,NA,0,0
1,"hard","prediction","test",53,NA,NA,NA,NA,2,"b",1,"a",NA,5541.24200000253,0,"hard_p_vis_2b1a31","visible","3","1","1","1",TRUE,0,0.6,NA,NA,NA,0,0
1,"hard","prediction","test",54,NA,NA,NA,NA,0,"a",3,"a",NA,5311.59500000323,0,"hard_p_vis_0a3a30","visible","3","0","0","3",FALSE,0,0.4,NA,NA,NA,0,0
1,"hard","prediction","test",55,NA,NA,NA,NA,0,"a",NA,"a",NA,7153.38000000297,0,"hard_p_hid_0aa10","hidden","1","0","0","0",TRUE,0,0.4,NA,NA,NA,0,0
1,"hard","prediction","test",56,NA,NA,NA,NA,3,"a",0,"b",NA,7925.30600000051,0,"hard_p_vis_3a0b30","visible","3","0","3","3",TRUE,1,0,NA,NA,NA,0,0
1,"hard","prediction","test",57,NA,NA,NA,NA,3,"a",NA,"a",NA,3661.45400000189,0,"hard_p_hid_3aa03","hidden","0","3","3","0",FALSE,0,0.4,NA,NA,NA,0,0
1,"hard","prediction","test",58,NA,NA,NA,NA,0,"b",3,"a",NA,1816.61600000237,0,"hard_p_vis_0b3a21","visible","2","1","2","2",TRUE,0.6,0,NA,NA,NA,0,0
1,"hard","prediction","test",59,NA,NA,NA,NA,2,"a",NA,"b",NA,3638.86600000237,0,"hard_p_hid_2ab12","hidden","1","2","1","1",TRUE,0.6,0,NA,NA,NA,0,0
1,"hard","prediction","test",60,NA,NA,NA,NA,1,"b",3,"b",NA,3577.94700000202,0,"hard_p_vis_1b3b30","visible","3","0","3","3",TRUE,0.4,0,NA,NA,NA,0,0
1,"hard","prediction","test",61,NA,NA,NA,NA,2,"b",NA,"b",NA,3205.22800000134,0,"hard_p_hid_2bb13","hidden","1","3","3","3",TRUE,0.36,0.64,NA,NA,NA,0,0
1,"hard","prediction","test",62,NA,NA,NA,NA,2,"b",1,"b",NA,1303.24500000197,0,"hard_p_vis_2b1b10","visible","1","0","1","1",TRUE,0.6,0,NA,NA,NA,0,0
1,"hard","prediction","test",63,NA,NA,NA,NA,2,"a",2,"b",NA,3746.37000000244,0,"hard_p_vis_2a2b03","visible","0","3","0","3",FALSE,0.4,0,NA,NA,NA,0,0
1,"hard","prediction","test",64,NA,NA,NA,NA,1,"a",0,"a",NA,3139.08000000054,0,"hard_p_vis_1a0a30","visible","3","0","3","3",TRUE,1,0,NA,NA,NA,0,0
1,"hard","prediction","test",65,NA,NA,NA,NA,1,"b",NA,"a",NA,4353.48100000038,0,"hard_p_hid_1ba32","hidden","3","2","2","2",TRUE,0,0.24,NA,NA,NA,0,0
2,"hard","explanation","learning",2,"trial_1_seq",3,"b",2,NA,NA,3,"b",2,4178.28100002384,0,"3b2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,"hard","explanation","learning",3,"trial_2_seq",2,"b",1,3,"b",2,"b",1,2917.11400001192,0,"2b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,"hard","explanation","learning",4,"learning_control_trial_seq",1,"a",1,2,"b",1,"a",1,1811.46200001192,0,"1a1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,"hard","explanation","learning",5,"learning_control_trial_seq",1,"a",1,1,"a",1,"a",1,2626.44500002384,0,"1a1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,"hard","explanation","learning",6,"learning_control_trial_seq",1,"b",1,1,"a",1,"b",1,2136.36500001192,0,"1b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,"hard","explanation","learning",7,"learning_control_trial_seq",1,"a",1,1,"b",1,"a",1,1352.40499997616,0,"1a1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,"hard","explanation","learning",8,"learning_control_trial_seq",1,"a",0,1,"a",1,"a",0,1283.22300002385,0,"1a0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,"hard","explanation","learning",9,"learning_control_trial_seq",0,"a",3,1,"a",0,"a",3,1520.77800002384,0,"0a3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,"hard","explanation","learning",10,"learning_control_trial_seq",3,"a",2,0,"a",3,"a",2,1180.15600002384,0,"3a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,"hard","explanation","learning",11,"learning_control_trial_seq",2,"a",2,3,"a",2,"a",2,2718.68800002385,0,"2a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,"hard","explanation","learning",12,"learning_control_trial_seq",2,"b",1,2,"a",2,"b",1,1363.03800002384,0,"2b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,"hard","explanation","learning",13,"learning_control_trial_seq",1,"b",1,2,"b",1,"b",1,950.581999988077,0,"1b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
