"participant_id","fsm_type","test_condition","learning_counter","sender","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id"
3,"hard","control",2,"trial_1_seq",3,"b",2,NA,NA,3,"b",2,5774.80599998808,0,"3b2"
3,"hard","control",3,"trial_2_seq",2,"b",0,3,"b",2,"b",0,2982.33600000001,0,"2b0"
3,"hard","control",4,"learning_control_trial_seq",0,"b",3,2,"b",0,"b",3,4619.65799999403,0,"0b3"
3,"hard","control",5,"learning_control_trial_seq",3,"a",2,0,"b",3,"a",2,4187.56599999403,0,"3a2"
3,"hard","control",6,"learning_control_trial_seq",2,"a",2,3,"a",2,"a",2,1487.42899999404,0,"2a2"
3,"hard","control",7,"learning_control_trial_seq",2,"a",2,2,"a",2,"a",2,997.242999991053,0,"2a2"
3,"hard","control",8,"learning_control_trial_seq",2,"a",2,2,"a",2,"a",2,1203.84199999701,0,"2a2"
3,"hard","control",9,"learning_control_trial_seq",2,"b",0,2,"a",2,"b",0,641.716999991069,0,"2b0"
3,"hard","control",10,"learning_control_trial_seq",0,"b",3,2,"b",0,"b",3,686.872999991057,0,"0b3"
3,"hard","control",11,"learning_control_trial_seq",3,"b",3,0,"b",3,"b",3,547.665999997029,0,"3b3"
3,"hard","control",12,"control_further_screen",3,"b",2,3,"b",3,"b",2,513.728000000003,0,"3b2"
3,"hard","control",13,"learning_control_trial_seq",1,"a",0,2,"b",1,"a",0,3404.59299999702,0,"1a0"
3,"hard","control",14,"learning_control_trial_seq",0,"a",3,1,"a",0,"a",3,752.404999999999,0,"0a3"
3,"hard","control",15,"learning_control_trial_seq",3,"a",2,0,"a",3,"a",2,846.950999988068,0,"3a2"
3,"hard","control",16,"learning_control_trial_seq",2,"a",2,3,"a",2,"a",2,962.081000000006,0,"2a2"
3,"hard","control",17,"control_further_screen",2,"b",1,2,"a",2,"b",1,1715.77099999107,0,"2b1"
3,"hard","control",18,"learning_control_trial_seq",0,"a",3,1,"a",0,"a",3,1979.78599999702,0,"0a3"
3,"hard","control",19,"learning_control_trial_seq",3,"a",2,0,"a",3,"a",2,546.19399999702,0,"3a2"
3,"hard","control",20,"learning_control_trial_seq",2,"a",2,3,"a",2,"a",2,11568.046,0,"2a2"
3,"hard","control",21,"learning_control_trial_seq",2,"a",2,2,"a",2,"a",2,1121.46199999403,0,"2a2"
3,"hard","control",22,"control_further_screen",2,"a",2,2,"a",2,"a",2,630.701999988087,0,"2a2"
3,"hard","control",23,"learning_control_trial_seq",1,"a",1,2,"b",1,"a",1,28659.525999991,0,"1a1"
3,"hard","control",24,"learning_control_trial_seq",1,"a",1,1,"a",1,"a",1,1080.489,0,"1a1"
3,"hard","control",25,"learning_control_trial_seq",1,"a",1,1,"a",1,"a",1,259.777999997023,1,"1a1"
3,"hard","control",26,"learning_control_trial_seq",1,"a",0,1,"a",1,"a",0,733.906999991043,0,"1a0"
3,"hard","control",27,"control_further_screen",0,"b",3,1,"a",0,"b",3,872.499999988067,0,"0b3"
3,"hard","control",28,"learning_control_trial_seq",3,"a",0,3,"b",3,"a",0,2374.99400000001,0,"3a0"
3,"hard","control",29,"learning_control_trial_seq",0,"a",3,3,"a",0,"a",3,583.822999999975,0,"0a3"
3,"hard","control",30,"learning_control_trial_seq",3,"a",0,0,"a",3,"a",0,520.123999991047,0,"3a0"
3,"hard","control",31,"learning_control_trial_seq",0,"a",3,3,"a",0,"a",3,2112.31300000002,0,"0a3"
3,"hard","control",32,"control_further_screen",3,"a",2,0,"a",3,"a",2,618.271999997029,0,"3a2"
3,"hard","control",33,"learning_control_trial_seq",2,"b",1,2,"a",2,"b",1,1545.84999999701,0,"2b1"
3,"hard","control",34,"learning_control_trial_seq",1,"b",1,2,"b",1,"b",1,672.387999997009,0,"1b1"
3,"hard","control",35,"learning_control_trial_seq",1,"b",3,1,"b",1,"b",3,581.250999999989,0,"1b3"
3,"hard","control",36,"learning_control_trial_seq",3,"b",3,1,"b",3,"b",3,581.438999994018,0,"3b3"
3,"hard","control",37,"learning_control_trial_seq",3,"b",2,3,"b",3,"b",2,480.293999988062,0,"3b2"
3,"hard","control",38,"learning_control_trial_seq",2,"b",1,3,"b",2,"b",1,507.816999994044,0,"2b1"
3,"hard","control",39,"learning_control_trial_seq",1,"b",1,2,"b",1,"b",1,688.958999997005,0,"1b1"
3,"hard","control",40,"learning_control_trial_seq",1,"b",1,1,"b",1,"b",1,677.799999988056,0,"1b1"
3,"hard","control",41,"learning_control_trial_seq",1,"b",3,1,"b",1,"b",3,570.315999999992,0,"1b3"
3,"hard","control",42,"learning_control_trial_seq",3,"b",2,1,"b",3,"b",2,532.575999988068,0,"3b2"
3,"hard","control",43,"learning_control_trial_seq",2,"b",1,3,"b",2,"b",1,417.610999994038,0,"2b1"
3,"hard","control",44,"learning_control_trial_seq",1,"b",3,2,"b",1,"b",3,426.912000000011,0,"1b3"
3,"hard","control",45,"learning_control_trial_seq",3,"b",2,1,"b",3,"b",2,448.247999994026,0,"3b2"
4,"easy","control",2,"trial_1_seq",1,"b",0,NA,NA,1,"b",0,1629,0,"1b0"
4,"easy","control",3,"trial_2_seq",0,"b",2,1,"b",0,"b",2,1290,0,"0b2"
4,"easy","control",4,"learning_control_trial_seq",2,"b",2,0,"b",2,"b",2,1443,0,"2b2"
4,"easy","control",5,"learning_control_trial_seq",2,"b",2,2,"b",2,"b",2,1190,0,"2b2"
4,"easy","control",6,"learning_control_trial_seq",2,"a",3,2,"b",2,"a",3,2739,0,"2a3"
4,"easy","control",7,"learning_control_trial_seq",3,"a",1,2,"a",3,"a",1,1458,0,"3a1"
4,"easy","control",8,"learning_control_trial_seq",1,"b",0,3,"a",1,"b",0,3994,0,"1b0"
4,"easy","control",9,"learning_control_trial_seq",0,"b",2,1,"b",0,"b",2,1318,0,"0b2"
4,"easy","control",10,"learning_control_trial_seq",2,"a",0,0,"b",2,"a",0,1857,0,"2a0"
4,"easy","control",11,"learning_control_trial_seq",0,"a",2,2,"a",0,"a",2,1063,0,"0a2"
4,"easy","control",12,"control_further_screen",2,"a",3,0,"a",2,"a",3,2227,0,"2a3"
4,"easy","control",13,"learning_control_trial_seq",0,"a",2,3,"a",0,"a",2,4037,0,"0a2"
4,"easy","control",14,"learning_control_trial_seq",2,"a",0,0,"a",2,"a",0,612,0,"2a0"
4,"easy","control",15,"learning_control_trial_seq",0,"a",2,2,"a",0,"a",2,706,0,"0a2"
4,"easy","control",16,"learning_control_trial_seq",2,"a",0,0,"a",2,"a",0,622,0,"2a0"
4,"easy","control",17,"control_further_screen",0,"b",2,2,"a",0,"b",2,940,0,"0b2"
4,"easy","control",18,"learning_control_trial_seq",3,"b",3,2,"a",3,"b",3,1229,0,"3b3"
4,"easy","control",19,"learning_control_trial_seq",3,"b",3,3,"b",3,"b",3,1383,0,"3b3"
4,"easy","control",20,"learning_control_trial_seq",3,"a",0,3,"b",3,"a",0,1202,0,"3a0"
4,"easy","control",21,"learning_control_trial_seq",0,"a",2,3,"a",0,"a",2,1079,0,"0a2"
4,"easy","control",22,"learning_control_trial_seq",2,"a",0,0,"a",2,"a",0,1081,0,"2a0"
4,"easy","control",23,"control_further_screen",0,"b",2,2,"a",0,"b",2,1263,0,"0b2"
4,"easy","control",24,"learning_control_trial_seq",2,"a",0,2,"b",2,"a",0,1240,0,"2a0"
4,"easy","control",25,"learning_control_trial_seq",0,"a",2,2,"a",0,"a",2,434,0,"0a2"
4,"easy","control",26,"learning_control_trial_seq",2,"b",2,0,"a",2,"b",2,889,0,"2b2"
4,"easy","control",27,"control_further_screen",2,"b",2,2,"b",2,"b",2,3808,0,"2b2"
4,"easy","control",28,"learning_control_trial_seq",2,"b",2,2,"b",2,"b",2,1690,0,"2b2"
4,"easy","control",29,"learning_control_trial_seq",2,"b",2,2,"b",2,"b",2,967,0,"2b2"
4,"easy","control",30,"learning_control_trial_seq",2,"a",3,2,"b",2,"a",3,777,0,"2a3"
4,"easy","control",31,"learning_control_trial_seq",3,"a",1,2,"a",3,"a",1,623,0,"3a1"
4,"easy","control",32,"learning_control_trial_seq",1,"b",0,3,"a",1,"b",0,2819,0,"1b0"
4,"easy","control",33,"control_further_screen",0,"b",2,1,"b",0,"b",2,2511,0,"0b2"
4,"easy","control",34,"learning_control_trial_seq",0,"b",2,2,"a",0,"b",2,1182,0,"0b2"
4,"easy","control",35,"learning_control_trial_seq",2,"b",2,0,"b",2,"b",2,625,0,"2b2"
4,"easy","control",36,"learning_control_trial_seq",2,"a",0,2,"b",2,"a",0,758,0,"2a0"
